category,area,avg_price,score,main_scene,business_hours,dish_feature
素食餐厅,涟源市,50,4.0,夜宵,19:00-00:00,豆腐煲
本地小吃,娄星区,19,4.6,学生用餐,10:00-22:00,糖油粑粑
新化菜,新化县,75,4.3,早餐,06:00-10:00,糁子粑
自助餐厅,娄星区,60,4.2,下午茶,13:30-17:30,中西结合自助
快餐连锁,涟源市,40,3.5,工作日早餐,06:30-10:30,汉堡
湘菜,双峰县,44,3.9,亲子聚餐,09:30-22:30,辣椒炒肉
炸串小吃,冷水江市,35,4.4,学生夜宵,19:00-00:00,臭豆腐
炸串小吃,冷水江市,30,4.3,夜宵,18:00-02:00,炸里脊肉
烤鱼店,冷水江市,50,4.2,周末晚餐,18:00-23:00,香辣烤鱼
湘菜,新化县,59,4.4,工作日午餐,11:00-14:00,辣椒炒肉
海鲜餐厅,娄星区,86,4.3,下午茶,14:00-17:00,蒜蓉粉丝扇贝
西餐厅,新化县,60,4.2,周末午餐,11:30-15:00,沙拉
甜品店,娄星区,50,3.8,情侣约会,10:30-21:30,布丁
早餐米粉店,娄星区,20,4.6,工作日早餐,06:30-10:30,肉丝粉
东南亚菜,冷水江市,63,4.4,周末午餐,11:00-14:00,冬阴功汤
烤鱼店,娄星区,50,4.6,户外用餐,16:00-23:00,麻辣烤鱼
炸串小吃,娄星区,52,3.5,夜宵,19:00-00:00,炸年糕
火锅烤肉,娄星区,50,3.6,周末聚餐,10:30-21:30,麻辣火锅
面馆,双峰县,35,3.5,工作日晚餐,17:30-22:30,刀削面
中式快餐,新化县,30,4.4,下午茶,13:30-17:30,炒菜
正餐米粉店,娄星区,47,4.4,学生用餐,10:00-22:00,排骨粉
包子,娄星区,15,4.1,工作日早餐,06:30-10:30,青菜包
本地小吃,双峰县,29,4.4,学生用餐,09:30-22:30,糖油粑粑
烤鱼店,冷水江市,52,4.3,商务宴请,16:00-23:00,蒜香烤鱼
湘菜,娄星区,66,4.2,周末聚餐,10:00-22:00,经典辣椒炒肉
粥,娄星区,12,4.2,学生早餐,07:00-11:00,皮蛋瘦肉粥
正餐米粉店,娄星区,65,4.3,学生用餐,10:00-22:00,牛肉粉
快餐连锁,娄星区,40,4.8,商务聚餐,09:30-22:30,汉堡
烤鱼店,涟源市,78,4.4,工作日晚餐,17:00-22:30,香辣烤鱼
日韩料理,娄星区,62,3.9,下午茶,13:30-17:30,寿司
中式快餐,涟源市,30,4.4,学生午餐,11:30-15:00,面条
新化菜,娄星区,42,4.1,早餐,06:30-10:30,白溪豆腐
粥,娄星区,12,4.5,学生早餐,07:00-11:00,黑米粥
炸串小吃,娄星区,20,4.7,学生夜宵,19:00-00:00,臭豆腐
湘菜,冷水江市,58,3.9,商务聚餐,10:30-21:30,剁椒鱼头
咖啡馆,新化县,80,4.6,夜宵,19:00-00:00,蛋糕
西餐厅,娄星区,60,3.5,节日聚餐,09:30-22:30,沙拉
湘菜,双峰县,70,4.4,商务聚餐,09:30-22:30,剁椒鱼头
日韩料理,双峰县,114,4.6,学生晚餐,17:00-22:00,刺身
火锅烤肉,新化县,50,4.5,周末聚餐,10:00-22:00,烤生蚝
湘式快餐,涟源市,35,4.7,周末午餐,11:30-15:00,小炒肉饭
小龙虾店,涟源市,60,4.7,朋友聚会,16:00-02:00,麻辣小龙虾
素食餐厅,新化县,48,3.9,学生夜宵,19:00-00:00,素炒时蔬
中式快餐,双峰县,30,3.8,情侣约会,09:30-22:30,炒菜
正餐米粉店,娄星区,59,4.4,工作日午餐,11:30-15:00,牛肉粉
西餐厅,冷水江市,74,4.7,周末晚餐,17:30-22:30,牛排
正餐米粉店,双峰县,37,3.7,学生用餐,10:30-21:30,三鲜粉
小龙虾店,新化县,60,4.4,户外用餐,16:00-02:00,蒜蓉小龙虾
小龙虾店,冷水江市,61,4.1,夜宵,19:00-00:00,蒜蓉小龙虾
素食餐厅,涟源市,56,4.0,户外用餐,09:30-22:30,素炒时蔬
早餐米粉店,娄星区,16,4.6,工作日早餐,07:00-11:00,牛肉粉
正餐米粉店,双峰县,60,4.2,工作日午餐,11:30-15:00,炒粉
甜品店,冷水江市,50,4.3,情侣约会,10:00-22:00,冰淇淋
素食餐厅,涟源市,75,4.1,学生夜宵,20:00-01:00,蔬菜沙拉
素食餐厅,双峰县,54,4.6,商务聚餐,09:30-22:30,菌菇汤
烧烤店,冷水江市,57,4.4,节日聚餐,19:00-00:00,烤鸡翅
火锅烤肉,新化县,50,3.8,周末聚餐,10:30-21:30,麻辣火锅
日韩料理,双峰县,50,3.9,学生早餐,06:00-10:00,刺身
东南亚菜,娄星区,50,4.1,亲子聚餐,09:30-22:30,沙爹
素食餐厅,娄星区,48,3.7,亲子聚餐,10:00-22:00,蔬菜沙拉
本地小吃,双峰县,15,4.5,工作日午餐,11:00-14:00,葱油饼
西餐厅,涟源市,65,4.3,朋友聚会,09:30-22:30,披萨
新化菜,娄星区,67,4.4,工作日午餐,11:00-14:00,向东街米粉
东南亚菜,新化县,52,4.6,家庭聚餐,10:00-22:00,冬阴功汤
湘式快餐,涟源市,35,4.8,周末早餐,06:30-10:30,汤
咖啡馆,冷水江市,80,4.3,学生晚餐,17:30-22:30,美式咖啡
快餐连锁,双峰县,40,4.5,下午茶,13:30-17:30,可乐
咖啡馆,涟源市,43,4.4,亲子聚餐,10:00-22:00,拿铁
中式快餐,新化县,30,4.4,学生夜宵,20:00-01:00,炒菜
日韩料理,双峰县,87,4.4,学生夜宵,19:00-00:00,拉面
西餐厅,冷水江市,66,4.4,周末晚餐,18:00-23:00,沙拉
特色主题餐厅,冷水江市,72,4.5,周末午餐,12:00-14:30,邵阳猪血丸子
面馆,双峰县,34,3.8,商务宴请,09:30-22:30,拉面
素食餐厅,涟源市,44,4.7,工作日早餐,06:30-10:30,豆腐煲
西餐厅,涟源市,67,4.7,商务宴请,10:00-22:00,烤羊排
西餐厅,双峰县,60,4.3,户外用餐,09:30-22:30,牛排
海鲜餐厅,涟源市,84,4.3,周末午餐,11:30-15:00,鲍鱼
包子,娄星区,15,4.7,工作日早餐,07:00-11:00,鲜肉包
湘式快餐,娄星区,35,4.5,户外用餐,10:30-21:30,小炒肉饭
小龙虾店,冷水江市,60,3.9,学生夜宵,18:00-02:00,蒜蓉小龙虾
海鲜餐厅,冷水江市,141,4.6,节日聚餐,10:00-22:00,蒜蓉粉丝扇贝
面馆,双峰县,35,4.6,下午茶,14:00-17:00,牛肉面
海鲜餐厅,娄星区,80,4.3,情侣约会,09:30-22:30,鲍鱼
烤鱼店,双峰县,50,3.8,夜宵,17:30-22:30,酸菜烤鱼
粥,娄星区,12,3.8,学生早餐,06:00-10:00,南瓜粥
早餐米粉店,娄星区,23,4.6,工作日早餐,07:00-11:00,猪油拌粉
湘式快餐,涟源市,35,4.3,商务聚餐,10:30-21:30,酸辣土豆丝
炸串小吃,娄星区,56,4.2,夜宵,19:00-00:00,炸土豆
快餐连锁,双峰县,40,4.0,商务聚餐,09:30-22:30,三明治
正餐米粉店,娄星区,53,4.5,工作日午餐,12:00-14:30,新化粗粉
快餐连锁,新化县,40,4.2,亲子聚餐,09:30-22:30,三明治
包子,娄星区,15,4.1,工作日早餐,07:00-11:00,鲜肉包
炸串小吃,娄星区,30,4.7,学生夜宵,20:00-01:00,臭豆腐
快餐连锁,新化县,40,3.8,外卖,10:30-21:30,三明治
咖啡馆,娄星区,47,3.7,节日聚餐,10:00-22:00,卡布奇诺
正餐米粉店,娄星区,37,4.5,工作日午餐,11:00-14:00,三鲜粉
海鲜餐厅,双峰县,80,4.4,工作日早餐,06:00-10:00,椒盐虾
面馆,冷水江市,30,4.5,商务聚餐,10:00-22:00,牛肉面
快餐连锁,冷水江市,40,4.2,外卖,10:00-22:00,炸鸡
湘式快餐,双峰县,35,4.4,工作日午餐,11:30-15:00,小炒肉饭
粥,娄星区,12,4.6,学生早餐,06:00-10:00,南瓜粥
甜品店,双峰县,50,4.5,商务宴请,09:30-22:30,蛋糕
咖啡馆,涟源市,65,4.3,下午茶,13:30-17:30,蛋糕
东南亚菜,冷水江市,78,3.7,情侣约会,09:30-22:30,菠萝饭
中式快餐,冷水江市,30,3.5,家庭聚餐,10:00-22:00,面条
烧烤店,娄星区,43,3.6,家庭聚餐,17:00-02:00,烤牛肉串
甜品店,新化县,50,4.3,朋友聚会,10:00-22:00,布丁
特色主题餐厅,新化县,50,4.6,工作日午餐,11:30-15:00,叫花鸡
湘菜,娄星区,57,4.4,工作日午餐,11:00-14:00,双色剁椒鱼头
火锅烤肉,娄星区,50,4.0,周末聚餐,09:30-22:30,烤生蚝
烧烤店,新化县,33,3.7,下午茶,18:00-01:00,烤鸡翅
湘菜,双峰县,59,4.4,学生用餐,09:30-22:30,剁椒鱼头
快餐连锁,娄星区,40,4.6,朋友聚会,10:30-21:30,炸鸡
本地小吃,双峰县,15,4.8,学生用餐,10:00-22:00,糖油粑粑
烤鱼店,双峰县,57,4.4,情侣约会,17:00-22:30,酸菜烤鱼
粥,娄星区,12,3.6,学生早餐,07:00-11:00,黑米粥
早餐米粉店,新化县,20,3.7,工作日早餐,07:00-11:00,猪油拌粉
自助餐厅,新化县,69,4.0,户外用餐,10:00-22:00,中西结合自助
面馆,双峰县,35,3.7,周末晚餐,17:00-22:00,拉面
海鲜餐厅,冷水江市,80,4.5,周末晚餐,17:30-22:30,鲍鱼
炸串小吃,冷水江市,39,4.3,学生夜宵,19:00-00:00,炸里脊肉
面馆,新化县,35,3.9,商务宴请,09:30-22:30,牛肉面
湘式快餐,新化县,35,4.3,户外用餐,10:30-21:30,酸辣土豆丝
烧烤店,冷水江市,47,3.9,节日聚餐,19:00-00:00,烤茄子
西餐厅,娄星区,60,3.8,周末午餐,11:30-15:00,牛排
面馆,涟源市,35,4.5,学生早餐,06:30-10:30,羊肉面
烧烤店,冷水江市,48,4.5,商务宴请,19:00-00:00,烤鸡翅
咖啡馆,双峰县,54,4.0,工作日早餐,07:00-11:00,卡布奇诺
新化菜,娄星区,61,4.4,周末聚餐,09:30-22:30,向东街米粉
包子,娄星区,15,4.5,工作日早餐,06:00-10:00,红糖馒头
面馆,双峰县,35,4.6,工作日午餐,11:30-15:00,炸酱面
湘式快餐,冷水江市,35,4.2,亲子聚餐,09:30-22:30,汤
小龙虾店,双峰县,60,4.5,朋友聚会,18:00-00:00,清蒸小龙虾
炸串小吃,娄星区,45,4.7,夜宵,19:00-00:00,炸里脊肉
特色主题餐厅,双峰县,57,3.9,学生早餐,06:00-10:00,侗族腌鱼
中式快餐,新化县,30,4.2,商务宴请,09:30-22:30,面条
海鲜餐厅,新化县,80,4.6,外卖,09:30-22:30,椒盐虾
新化菜,新化县,41,4.7,早餐,07:00-11:00,向东街米粉
自助餐厅,娄星区,60,4.3,朋友聚会,10:30-21:30,中西结合自助
甜品店,冷水江市,50,3.9,周末早餐,07:00-11:00,布丁
湘式快餐,双峰县,35,4.5,家庭聚餐,10:30-21:30,青菜
炸串小吃,娄星区,22,4.7,夜宵,19:00-00:00,炸香蕉
